diabetes_Lower 95% CI,diabetes_Upper 95% CI,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,diabetes_ratio,comorbidity_risk
18.0,20.0,4.2,4.0,4.5,0.14767810787424285,77.2
12.1,14.4,3.1,2.8,3.3,0.10153113003574107,67.5
21.2,23.7,5.2,4.9,5.6,0.1731669266770671,86.1
13.4,15.5,3.6,3.3,3.9,0.11988162821596811,67.80000000000001
13.4,15.5,3.5,3.3,3.8,0.1182053018041709,61.800000000000004
14.5,16.7,3.8,3.5,4.2,0.11877845485746305,67.3
12.7,14.3,3.2,3.0,3.4,0.09242424242424242,62.7
13.3,15.4,3.5,3.3,3.8,0.11551385953441695,68.2
15.5,17.2,4.0,3.8,4.2,0.13068722634684943,69.2
12.1,14.0,3.4,3.1,3.6,0.10490604478562203,63.699999999999996
10.1,12.1,3.4,3.1,3.7,0.08551250238595151,57.3
13.9,16.3,3.5,3.2,3.8,0.11743981209630065,70.4
12.6,14.5,3.2,3.0,3.5,0.10364278716266366,67.3
10.3,12.4,3.5,3.2,3.8,0.08872352604464796,51.6
12.8,14.9,3.4,3.2,3.7,0.10897524547088923,66.0
19.3,21.5,5.1,4.8,5.5,0.1603202499511814,79.4
12.1,14.1,3.4,3.1,3.6,0.1022751100859719,60.099999999999994
14.4,16.7,3.7,3.4,4.0,0.1183776540919398,71.7
11.3,13.4,3.6,3.3,3.8,0.0993641690562274,59.800000000000004
8.3,9.8,2.6,2.4,2.8,0.06972211294302778,45.2
7.6,8.9,2.2,2.1,2.3,0.055960399530298854,42.5
24.2,27.0,5.8,5.4,6.2,0.19931981051864447,90.4
11.2,12.8,2.8,2.7,3.0,0.0948250690485422,56.3
10.0,11.8,2.9,2.7,3.1,0.08489363297752668,54.5
10.1,12.0,3.1,2.8,3.3,0.08370326105514769,52.8
11.0,12.9,3.3,3.0,3.5,0.0957166153516808,58.2
11.2,13.4,3.7,3.4,4.0,0.10483684332330478,61.5
10.1,11.9,2.8,2.6,3.0,0.08428570681367652,55.10000000000001
9.9,11.8,3.0,2.8,3.2,0.08571045336671734,56.5
22.4,25.4,5.7,5.2,6.1,0.18575851393188855,92.7
11.9,14.2,3.6,3.4,3.9,0.1011826544021025,59.7
12.0,14.0,3.2,3.0,3.4,0.09244342155734561,64.39999999999999
13.5,15.5,3.7,3.4,4.0,0.1104529907399683,68.3
18.6,21.3,4.6,4.3,5.0,0.133615221987315,77.0
15.1,17.8,4.1,3.8,4.5,0.1308596732325546,73.4
11.5,13.3,3.5,3.3,3.8,0.09744122706422019,57.9
9.2,11.1,2.8,2.6,3.1,0.07712528751818992,56.3
9.0,10.3,2.9,2.8,3.1,0.07482311299968154,42.099999999999994
12.5,14.7,3.6,3.4,4.0,0.10876196047298708,63.9
13.4,15.6,3.6,3.4,3.9,0.11167897907664669,66.6
11.3,13.3,3.6,3.3,3.8,0.09637760702524698,61.9
14.1,15.9,3.9,3.7,4.2,0.12005734634417056,69.3
11.4,13.3,3.2,3.0,3.5,0.09433543005606454,64.3
8.0,8.8,2.3,2.2,2.4,0.06331348674392841,45.8
17.4,20.1,4.8,4.5,5.2,0.15612420931569868,74.3
9.2,10.6,2.5,2.4,2.7,0.07742421068701207,54.8
12.0,13.8,3.3,3.0,3.5,0.08941176470588236,60.8
13.4,15.5,3.7,3.4,4.1,0.11354991261437236,66.3
10.1,11.9,3.1,2.9,3.3,0.08665970925092563,59.0
9.9,11.7,3.1,2.9,3.3,0.0854637059152827,60.7
8.9,10.1,2.5,2.4,2.7,0.07543808354287274,37.8
13.9,15.7,3.9,3.7,4.2,0.12087401208740121,62.0
7.5,8.7,2.6,2.5,2.7,0.06622915346890548,40.4
14.2,15.9,3.6,3.4,3.9,0.11920803538213533,64.6
10.4,13.0,3.8,3.5,4.1,0.1005248284214776,47.9
15.2,17.8,3.9,3.6,4.3,0.12849948155828766,75.7
16.5,18.3,4.2,4.0,4.5,0.13877692041920994,72.8
9.8,11.9,3.2,2.9,3.4,0.09013742926434923,49.8
11.8,14.3,3.5,3.2,3.8,0.10859313597065759,55.9
10.7,12.0,3.1,2.9,3.3,0.08380362886097457,54.4
11.4,14.1,3.7,3.4,4.0,0.10464369783864755,63.0
12.6,14.5,3.4,3.2,3.7,0.1040283540802213,61.4
12.8,14.5,3.4,3.2,3.6,0.10643889618922471,60.1
12.1,14.2,3.5,3.3,3.8,0.10016528925619834,61.9
12.3,14.3,3.3,3.1,3.5,0.10265584147516169,65.1
9.9,11.8,3.3,3.1,3.6,0.08002912055911474,47.6
12.5,15.0,3.7,3.4,4.1,0.1126670265892833,65.0
17.5,19.6,4.3,4.0,4.6,0.15510965935604293,75.9
13.8,15.7,3.9,3.7,4.2,0.11957538269700897,65.8
12.5,14.4,3.4,3.1,3.6,0.10417607019697762,63.0
15.2,17.9,3.9,3.5,4.2,0.13133386741438013,77.19999999999999
10.0,12.1,3.4,3.1,3.7,0.08982792581856022,55.3
13.3,15.4,3.2,3.0,3.4,0.11164094014349374,62.099999999999994
16.4,18.3,4.4,4.1,4.7,0.13409318279262541,72.5
